geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,27.44186,27.47358,29.67486,31.87559,34.09443,36.33123,38.56712,41.08367,43.63261,46.21376,48.82697,51.47238,54.14949,56.85814,59.59816,62.36966,65.17216,68.00887,70.87994,73.78464,76.72226,79.69308,82.17537
ago,Angola,41.14431,42.25468,43.3768,44.36387,45.35133,46.33602,47.15023,47.96147,48.7704,49.57516,50.37684,51.17484,51.96854,52.75735,53.54151,54.31693,55.08427,55.84291,56.59175,56.88304,57.16774,57.44673,57.71956
alb,Albania,86.39704,86.90407,87.45164,87.9872,88.51058,89.02119,89.51913,90.00419,90.47615,90.93441,91.37948,91.81089,92.22878,92.6316,93.02006,93.39432,93.75488,94.1021,94.43639,94.75822,95.06804,95.08151,95.09456
and,Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
are,UAE,99.61583,99.61389,99.6348,99.65596,99.67738,99.69903,99.72092,99.74304,99.76541,99.78799,99.8108,99.83381,99.85701,99.88041,99.90399,99.92775,99.95168,99.97576,100,100,100,100,100
arg,Argentina,96.28403,96.52282,96.75547,96.98242,97.20435,97.42119,97.63321,97.84036,98.04288,98.24073,98.43405,98.62186,98.80529,98.8642,98.92325,98.98231,99.04137,,,,,,
arm,Armenia,95.33218,95.58796,95.85912,96.13686,96.41666,96.69846,96.9824,97.26837,97.55648,97.84664,98.13891,98.43331,98.72982,99.02892,99.32488,99.52456,99.52935,99.53441,99.91483,99.92817,99.94152,99.95489,99.9683
atg,Antigua and Barbuda,,,,,,,,,,98.36656,98.36618,98.36582,98.36571,98.36559,98.36548,98.36536,98.36526,98.36518,98.3651,98.36504,98.36499,98.36496,98.36494
aus,Australia,99.7123,99.71124,99.71219,99.73436,99.75634,99.77815,99.79977,99.82125,99.84256,99.86367,99.88314,99.89196,99.90077,99.90959,99.96148,99.97,99.96997,99.96994,99.96989,99.96985,99.96982,99.96977,99.96973
aut,Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
