geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
afg,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.31827,277.11805,338.13997,346.07163,338.63727,363.64014,367.75831,410.75773,417.64728,488.83065,542.87103,525.42698,568.92902,580.60383,575.14625,565.56973,563.87234,562.76957,553.12515,557.86153,527.83455,408.62586,377.66563,378.0663,
ago,Angola,,,,,,,,,,,,,,,,,,,,,2835.45919,2613.73939,2519.35159,2529.40192,2583.61983,2577.46509,2557.95884,2571.49692,2637.78186,2550.29431,2380.17624,2324.36938,2118.16655,1559.51715,1529.99443,1701.69728,1867.93503,1936.91619,1961.03723,1938.86184,1932.98848,1947.85673,2139.8726,2128.19579,2277.86697,2526.41058,2716.25303,2983.04187,3193.28772,3100.60927,3114.69609,3099.94229,3236.57495,3268.63891,3300.73511,3213.90261,3020.98333,2911.60084,2775.74642,2664.43851,2433.37637,2385.44882,2382.02264,2334.66104,2364.84659
alb,Albania,,,,,,,,,,,,,,,,,,,,,1823.48926,1890.02197,1905.06353,1885.6928,1823.32356,1818.02507,1883.74041,1831.94704,1772.17936,1894.87827,1682.88109,1218.96427,1138.23774,1254.67888,1367.22059,1558.96639,1683.76966,1495.90035,1630.43874,1841.80763,1991.91436,2188.91854,2297.10854,2428.68935,2567.29764,2712.86984,2894.36033,3105.87968,3345.98162,3459.24696,3579.82413,3677.89458,3720.22876,3790.68016,3883.63263,3981.72662,4143.98988,4283.98263,4452.23715,4563.46736,4437.65347,4880.72346,5178.88431,5444.93,5726.02571
and,Andorra,,,,,,,,,,,43005.54241,41930.15052,42354.74513,42738.16831,42363.44598,40073.41037,39058.58866,38021.81983,36647.70204,34983.99909,34281.74395,32958.76504,31996.5442,31117.19623,30392.84207,29997.08627,29680.13294,30064.99797,30469.34424,31180.41233,31143.14687,29642.30598,28161.94249,26518.23363,26587.1383,27619.50606,28871.21607,31140.68968,31800.36407,32938.64374,34113.81738,36790.10371,38084.48431,39620.32016,40054.32115,40528.17486,41322.05292,40789.15897,37775.12614,35604.38401,36277.26444,37637.48683,36206.97843,35684.16943,37300.62442,38654.93472,40085.0206,39361.06226,39242.1449,39346.27503,34536.64992,36929.01915,39780.39661,40227.23353,41034.5074
are,UAE,,,,,,,,,,,49105.84682,57374.99238,69436.76479,108198.81754,110539.67902,105792.82975,108662.7466,114430.05285,98826.10173,106042.17418,117949.37655,113999.50946,100275.25994,90186.17698,88731.21951,81077.257,64745.48656,62391.55193,56872.357,60031.8691,66979.15592,63905.62647,62667.13545,60391.46558,61614.34159,62860.27733,62334.40666,62177.42838,57785.03114,55354.94396,57365.39833,54574.81417,52607.66151,54020.47357,56027.61004,55777.90183,57053.78956,52428.06807,48281.3478,42991.55352,42645.63596,43800.1593,42868.0975,43269.84047,43023.19042,43534.99727,43745.28817,42690.21478,42679.75191,42700.12979,40776.63087,41778.58388,42687.72072,42507.78734,42512.19717
arg,Argentina,7397.10965,7670.59546,7480.27172,6967.7502,7551.02491,8219.55156,8041.22487,8172.27456,8436.30856,9111.94597,9244.12252,9614.61062,9617.68815,9729.53259,10100.44691,9936.49583,9584.74852,10088.33749,9480.94009,10284.60641,10275.7987,9587.67379,9365.68465,9617.70006,9614.44726,8973.31875,9378.46866,9484.45877,9236.80771,8445.41009,8115.09386,8729.82319,9293.18692,9920.67359,10359.89272,9934.10776,10352.14,11056.68813,11348.20221,10838.31993,10631.65036,10051.94485,8861.56199,9545.53194,10302.44653,11099.75092,11870.27916,12811.90212,13197.35703,12285.37847,13387.15537,14040.61891,13754.42542,13946.09508,13456.13192,13679.6265,13265.88606,13520.11298,13058.32854,12706.39781,11393.0506,12549.28117,13182.7934,12933.24973,12667.03137
arm,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.02215,1426.82791,840.20526,792.56786,857.39447,932.35783,995.72828,1039.07982,1128.09889,1180.45342,1229.2151,1351.12073,1535.20453,1759.64685,1955.22262,2240.09273,2551.43546,2919.37349,3141.33194,2716.97436,2796.08143,2943.83687,3159.75861,3266.29883,3393.09252,3512.3935,3533.88504,3815.37474,4027.83393,4343.4584,4032.09043,4264.79962,4791.00482,5197.23509,5378.318
atg,Antigua and Barbuda,,,,,,,,,,,,,,,,,,6062.49731,6310.85528,6795.69319,7323.12586,7584.59253,7564.22182,7951.66483,8766.99058,9479.64251,10620.99819,11383.20247,12037.42653,12729.29043,13166.52412,13385.01144,13326.27288,13776.82641,14420.4694,13519.52877,14117.86791,14588.30798,14991.78026,15282.9734,15961.09184,15003.43892,14968.0703,15703.93471,16433.41305,17301.21343,19259.64865,20770.26897,20464.78631,17746.70086,16135.39738,15633.90911,15989.39002,15748.1952,15967.285,16077.63408,16635.89523,16992.93275,18042.15964,18525.25889,14950.89424,16084.72144,17456.87222,17789.40581,18468.99517
aus,Australia,19905.31347,19997.545,19767.95708,20597.92606,21607.49222,22455.25098,22470.51761,23587.62812,24355.62825,25531.53653,26829.7631,26975.66552,27520.00051,27812.44551,28231.02391,28258.06548,28700.29463,29399.00248,29318.74636,30178.38945,30717.77803,31251.82033,31736.04475,30608.3684,31632.38927,32861.41624,33674.17055,34014.73541,35389.45533,36143.14778,36886.14443,36279.75405,36029.48457,37155.5124,38264.14667,39310.79823,40337.10605,41464.49822,42967.66167,44636.94181,45859.51621,46191.31424,47486.27832,48394.12695,49902.0187,50853.19767,51553.9686,52531.76112,53336.10122,53237.00776,53578.8125,54111.35724,55257.57393,55728.0174,56327.85331,56739.02653,57401.06623,57750.64822,58530.78217,58924.73365,58132.79852,59276.50311,61009.80771,61598.17761,61211.89676
aut,Austria,11894.74413,12484.80875,12737.18537,13179.35245,13893.58584,14283.99738,14984.55303,15320.35833,15922.63867,16863.58635,18001.78308,18838.3156,19891.82599,20749.34399,21530.63422,21509.31234,22533.88033,23669.50863,23638.77841,24947.52707,25379.46299,25278.29524,25768.21927,26577.24547,26592.54692,27244.21484,27853.50499,28213.6634,29102.32225,30097.65129,31167.1858,31919.55735,32231.12161,32134.82991,32780.34194,33603.42783,34301.65622,34998.03212,36180.74906,37468.86989,38571.08588,38929.7538,39313.72251,39569.28856,40333.33072,40989.01318,42120.1557,43568.83022,44063.8642,42372.47583,43035.40735,44146.19568,44221.45995,43851.36755,43838.83459,43915.22802,44362.67028,45056.63859,45951.58192,46550.56225,43428.69831,45313.3989,47250.9696,46338.95706,45562.04069
aze,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.41061,2808.72744,2141.34004,1621.91809,1284.95555,1120.30868,1123.44794,1177.19686,1282.68414,1365.56585,1504.73107,1640.93664,1782.47319,1949.60609,2111.45338,2674.36886,3556.83212,4412.20326,4778.12452,5118.43395,5300.11049,5149.20665,5193.17501,5425.99559,5508.60266,5500.50365,5272.71817,5229.2526,5261.92938,5346.95319,5087.50023,5349.58226,5599.58525,5668.6102,5871.13222
