geo,name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,1003.27,909.34,716.29,598.3,571.02,589.96,583.17,579.32,561.89,775.64,625.31,850.53,717.55,802.2,1142.85,1296.49,1630.04,1296.68,1451.17,1375.47,1415.78,1408.44,1495.02,1633.63,1636.76,1562.3,1627.03,1580.87,1543.26,1486.33,1646.78,1552.82,1500.26,1563.81,1595.65,2235.42,2185.51,2286.15,2572.99,2004.37,2344.99,2543.4,2389.46,2269.72
ago,Angola,588.62,614.32,637.13,665.01,674.26,692.27,729.77,754.71,766.61,822.85,814.05,824.62,838.58,887.22,927.25,930.86,866.62,859.65,941.06,966.44,974.43,998.46,1023.15,1061.26,1118.84,1134.29,1151.49,1175.02,1185.44,1203.92,1222.76,1219.44,1238.31,1275.31,1286.19,1337.61,1359.45,1412.74,1456.79,1534.44,1656.57,1731.6,1701.3,1757.55
alb,Albania,206.84,206.68,213.92,213.32,216.57,218.9,219.04,221.37,229.79,230.96,259.25,292.24,315.85,335.82,353.55,372.32,395.8,439.06,453.14,409.49,354.37,306.07,270.44,242.23,213.12,187.01,167.4,151.53,140.86,131.27,128.8,127.75,126.35,123.99,123.81,118.14,116.39,114.49,112.98,109.45,103.24,103.02,95.22,83.34
and,Andorra,0.61,0.66,0.7,0.74,0.75,0.8,0.83,0.86,0.88,0.88,0.96,1.05,1.09,1.1,1.07,0.99,0.95,0.96,0.92,0.87,0.84,0.79,0.78,0.85,0.9,0.89,0.93,0.9,0.85,0.8,0.74,0.68,0.62,0.58,0.59,0.6,0.59,0.59,0.57,0.56,0.58,0.55,0.55,0.55
are,UAE,24.8,23.84,22.49,21.3,20.88,21.14,20.58,20.25,20,19.79,20.09,20.21,20.59,21.75,22.57,23.05,23.96,24.36,26.17,27.37,27.84,28.38,29.96,31.59,32.64,37.73,42.06,54.04,63.15,78.28,87.37,85.88,83.04,89.29,88.4,86.33,83.15,78.69,72.91,66.93,62.8,54.86,55.4,55.18
arg,Argentina,1222.1,1300.97,1433.73,1534.85,1648.78,1767.39,1939.99,2021.48,2090.09,2169.52,2069.64,2026.76,2093.55,2104.23,2199.85,2225.9,2394.88,2592.8,2599.95,2766.84,2945.27,3294.61,3429.49,3167.42,2734.88,2519.05,2479.5,2390.81,2461.1,2466.21,2470.77,2504.41,2723.77,2838.07,2910.46,2859.25,2765.87,2616.89,2512.17,2420.16,2345.41,2379.59,2656.42,2453.14
arm,Armenia,104.46,105.42,101.66,98.31,84.89,79.2,73.39,76.56,79.74,137.64,220.61,279.94,334.91,401.29,351.23,288.04,250.67,206.74,191.84,169.39,146.92,140.32,130.6,127.01,131.58,147.68,158.58,168.41,155.43,143.09,145.19,139.67,154.33,141.21,133.45,124.88,113.83,96.42,74.5,75.15,74.63,75.54,79.25,73.07
atg,Antigua and Barbuda,1.88,1.84,1.74,1.69,1.79,1.83,1.82,1.76,1.78,1.82,1.93,2.07,2.07,2.17,2.28,2.28,2.26,2.36,2.44,2.37,2.36,2.54,2.65,2.81,3.14,3.75,3.61,3.43,3.56,4.01,3.8,4.03,3.96,4.06,3.97,3.99,3.88,3.73,3.47,3.29,3.31,3.47,3.6,3.64
aus,Australia,297.29,298.77,305.96,309.05,322.82,335.28,333.97,344.55,355.05,351.69,378.88,365.02,343.23,339.47,340.28,333.49,336.52,333.31,330.06,323.32,326.37,320.75,305.97,270.02,222.55,240.57,291.31,301.08,322.55,338.96,320.43,304.59,306.45,294.48,295.03,294.97,272.45,249.33,270.02,285.47,272.74,252.73,259.6,248.08
aut,Austria,114.18,118.41,125.39,127.92,126.3,119.83,113.56,110.21,109.52,111.72,115.95,116.42,120.99,117.15,113.54,103.34,96.82,90.14,88.95,86.04,85.57,85.11,86.9,81.67,81.65,77.58,76.48,74.49,73.17,74.99,72.37,72.28,69.79,67.14,66.82,67.96,64.58,64.21,67.06,65.96,60.33,56.84,57.13,57.52
