geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
afg,Afghanistan,,,16.70697,17.74603,21.423,25.11389,28.94126,32.70893,39.88625,43.13352,46.42439,52.18722,52.45247,56.16043,60.04951,59.91961,61.37234,66.82388,71.22509,74.06424,80.08923,81.52113,80.6516
ago,Angola,13.15999,29.26096,29.37077,35.2207,50.23311,54.66142,70.28185,93.42699,136.34094,120.52899,96.95197,122.11888,121.84848,142.7845,130.5862,107.52857,94.01482,112.75365,84.03104,64.61398,55.93916,67.04657,101.25614
alb,Albania,65.47675,73.92171,78.7291,105.43668,136.50725,149.97516,164.2209,209.31911,237.10341,236.94244,253.98247,273.75293,260.6832,276.07657,293.12674,253.93347,275.43677,295.52347,349.21127,366.34015,396.17477,465.57043,414.35025
and,Andorra,1295.08508,1376.14429,1583.21118,1885.52747,2059.91821,2283.44287,2156.34424,2376.66162,2774.92603,2663.37402,3277.78516,3550.9082,2785.18896,2887.02588,3001.19605,2672.26465,2769.15283,2876.17871,3158.13647,3021.43262,3282.81738,3535.98975,3192.31567
are,UAE,706.03113,689.29279,754.26221,784.89343,821.74921,898.36481,1031.14905,1176.49329,1465.82446,1531.0221,1619.98865,1787.59998,1711.38525,1789.68579,1776.73108,1479.49744,1592.91907,1695.20312,1872.58423,1962.46728,2154.41113,2249.96313,2314.74512
arg,Argentina,702.23309,668.79309,221.80255,259.9902,309.04416,389.34668,451.97617,567.28748,740.14105,778.51556,975.65991,1196.51465,1355.22852,1408.75635,1274.66125,1517.33789,1251.65613,1486.92871,1209.53577,1011.08014,891.99622,1080.88208,1370.88464
arm,Armenia,25.66064,31.90726,59.20984,66.31577,71.65074,95.55096,124.89896,170.15332,261.59964,247.90642,291.77759,325.29086,331.91379,392.85254,404.33875,365.5195,359.58228,409.80145,428.3457,533.69952,535.2724,595.83545,674.78619
atg,Antigua and Barbuda,520.12213,572.20776,559.08331,613.65112,597.74902,641.3158,665.1156,714.27496,694.03345,609.50391,724.08881,717.28186,753.50183,739.10492,826.75598,789.30975,817.88892,791.12323,856.37128,808.14996,883.50018,843.46545,1084.8833
aus,Australia,1626.73389,1550.3739,1752.93897,2227.12769,2744.08106,2995.87256,3174.86865,3792.80981,4083.42944,3989.44116,4947.96338,5876.88525,6038.87158,5811.86865,6098.25439,5294.57227,5423.82666,5780.53711,5830.10156,5529.19482,5952.89062,7039.57764,6730.99512
aut,Austria,2269.12646,2282.51562,2497.86597,3091.24023,3594.65039,3710.39795,3882.98193,4478.76855,5057.76074,4928.98779,4800.79346,5167.81787,4966.0957,5235.34131,5393.60205,4612.82373,4709.87598,4938.92041,5337.21826,5263.39062,5531.02344,6520.49072,5851.9624
aze,Azerbaijan,18.64017,19.1901,20.45606,23.62245,27.19064,34.35205,49.87102,74.65649,111.88428,135.40128,153.06657,184.93494,234.60324,251.67863,280.22314,236.2598,169.69597,167.01566,180.0361,199.25746,245.2195,250.98871,304.20163
bdi,Burundi,5.67927,7.50816,6.46999,5.87317,8.88248,11.13118,14.10515,15.26295,14.67026,18.31996,24.45115,23.16802,20.01196,20.26323,18.06601,17.67568,18.59473,19.16802,18.67819,22.24477,26.21934,23.21741,24.68719
bel,Belgium,1849.91602,1879.93457,2084.71997,2814.88037,3312.7417,3405.30176,3545.24243,4064.07568,4652.5459,4637.4502,4530.05811,4929.19873,4704.67578,4953.98193,5079.8252,4442.13037,4542.66162,4783.80664,5176.85498,5033.16602,5144.98145,5743.62109,5404.62402
ben,Benin,14.42371,16.2698,16.91793,21.06956,24.52665,25.12485,26.60264,26.7968,28.12486,29.58558,29.29358,31.75147,32.95617,33.53427,32.41182,27.34733,28.24944,28.14817,33.21631,28.37202,32.5536,34.03829,33.88217
bfa,Burkina Faso,7.34346,7.49485,8.48715,11.38967,17.02963,17.43082,20.564,26.93721,28.79026,30.56931,32.74516,33.70409,33.66718,42.26796,38.24517,32.33752,39.52329,42.9448,38.91589,41.05052,54.28779,57.224,56.75708
bgd,Bangladesh,8.27586,8.10026,9.05402,9.98434,10.78998,11.31404,12.05988,14.03899,15.56197,17.70302,20.62106,22.77348,23.43772,26.96918,29.91152,33.20999,39.30648,42.17511,44.78893,47.84217,51.00624,58.53959,61.09238
bgr,Bulgaria,94.51976,119.82998,148.14792,195.7437,233.11333,267.74139,294.10892,361.23499,455.54059,459.3002,484.75229,555.8642,558.64795,547.45483,605.25891,521.41907,562.34082,624.55499,689.9054,697.89618,856.70441,1047.4574,1011.09473
bhr,Bahrain,451.50253,457.59741,469.15479,530.54462,527.82989,557.95746,578.29706,677.1629,734.99512,838.52881,866.67224,921.72064,1038.16614,1115.16907,1122.1604,1128.24292,1095.92541,1080.08899,1041.85608,1030.26379,1101.79211,1175.28198,1110.6759
bhs,Bahamas,948.88245,995.71844,1021.03601,1062.43787,1078.31152,1153.21594,1257.64587,1351.08203,1429.23682,1416.92468,1444.00659,1442.24768,1518.64954,1559.34937,1619.43213,1588.58289,1729.71436,2118.64893,1941.95764,1941.60742,1871.10474,2037.53186,2341.32349
bih,Bosnia and Herzegovina,106.5787,105.10999,118.87058,168.42216,222.27759,241.64047,281.26404,363.86224,459.29175,409.29099,406.13046,456.96906,444.93655,475.0741,493.07333,430.83414,450.44156,471.32648,529.85547,546.45087,594.82257,697.07428,667.29681
blr,Belarus,57.02944,73.36597,85.97066,108.51014,140.99655,196.13806,221.70171,278.63425,348.92633,288.44775,341.138,317.82492,364.09958,454.51959,448.27426,360.91937,296.9472,331.94083,349.99176,400.11621,420.43655,484.03931,529.01874
blz,Belize,138.99146,163.102,172.80646,175.12486,176.25566,181.23459,196.11969,233.6494,257.8269,243.30649,244.02867,252.73462,247.82729,262.88651,298.22598,287.53119,293.82303,281.3985,287.49368,299.69824,280.52631,310.21249,297.41632
